-1	0.301134	0.284987
-0.966667	0.301384	0.292443
-0.933333	0.30169	0.300012
-0.9	0.302063	0.307704
-0.866667	0.302518	0.315531
-0.833333	0.303073	0.323503
-0.8	0.30375	0.331633
-0.766667	0.304575	0.339934
-0.733333	0.30558	0.348421
-0.7	0.306804	0.357105
-0.666667	0.308293	0.366002
-0.633333	0.310103	0.375124
-0.6	0.312301	0.384483
-0.566667	0.314968	0.394089
-0.533333	0.318197	0.403948
-0.5	0.322101	0.414064
-0.466667	0.326809	0.424434
-0.433333	0.332473	0.43505
-0.4	0.339263	0.445894
-0.366667	0.347372	0.456939
-0.333333	0.35701	0.468148
-0.3	0.368399	0.479467
-0.266667	0.381764	0.490831
-0.233333	0.397322	0.502159
-0.2	0.415254	0.513354
-0.166667	0.435686	0.524306
-0.133333	0.45865	0.534888
-0.1	0.484049	0.544966
-0.0666667	0.511617	0.554398
-0.0333333	0.540887	0.563037
0	0.571171	0.57074
0.0333333	0.601562	0.577371
0.0666667	0.630963	0.582811
0.1	0.658149	0.586955
0.133333	0.681852	0.589727
0.166667	0.700872	0.591079
0.2	0.714181	0.590994
0.233333	0.721033	0.589492
0.266667	0.721033	0.586624
0.3	0.714181	0.582475
0.333333	0.700872	0.577164
0.366667	0.681852	0.570833
0.4	0.658149	0.563648
0.433333	0.630963	0.555793
0.466667	0.601562	0.547461
0.5	0.571171	0.538849
0.533333	0.540887	0.530156
0.566667	0.511617	0.521567
0.6	0.484049	0.513261
0.633333	0.45865	0.505396
0.666667	0.435686	0.49811
0.7	0.415254	0.49152
0.733333	0.397322	0.485717
0.766667	0.381764	0.48077
0.8	0.368399	0.476724
0.833333	0.35701	0.473602
0.866667	0.347372	0.471406
0.9	0.339263	0.470122
0.933333	0.332473	0.469719
0.966667	0.326809	0.470156
1	0.322101	0.471381
